0	0	-111
-0.20239	-1.1565	-111
-0.50597	-2.5798	-111
-0.60716	-3.3804	-111
-0.65776	-4.181	-111
-0.70836	-4.8038	-111
-0.75895	-5.2486	-111
-0.80955	-5.7824	-111
-0.86015	-6.0493	-111
-0.96134	-6.672	-111
-0.96134	-7.2947	-111
-1.0625	-8.1843	-111
-1.2143	-9.0739	-111
-1.2649	-9.8746	-111
-1.4167	-11.387	-111
-1.5179	-12.188	-111
-1.8215	-14.767	-111
-1.9733	-15.657	-111
-2.0239	-16.546	-111
-2.1251	-17.881	-111
-2.1757	-18.414	-111
-2.2263	-19.215	-111
-2.4792	-20.816	-111
-2.5298	-21.884	-111
-2.7323	-24.019	-111
-2.8334	-24.997	-111
-2.9853	-26.421	-111
-3.1369	-27.755	-111
-3.2382	-29.089	-111
-3.4407	-30.513	-111
-3.5923	-31.847	-111
-3.8959	-33.893	-111
-4.0477	-35.139	-111
-4.1996	-36.384	-111
-4.3007	-37.629	-111
-4.4018	-38.964	-111
-4.5537	-40.031	-111
-4.7562	-41.721	-111
-4.8572	-42.789	-111
-5.0597	-44.123	-111
-5.2116	-44.747	-111
-5.2116	-45.014	-111
-5.3632	-45.814	-111
-5.6162	-47.238	-111
-5.8692	-48.394	-111
-6.3246	-49.996	-111
-6.6787	-51.419	-111
-7.0836	-53.109	-111
-7.3871	-54.355	-111
-7.7414	-55.689	-111
-7.8931	-56.401	-111
-8.1966	-57.557	-111
-8.652	-58.892	-111
-9.1074	-60.137	-111
-9.6134	-61.827	-111
-9.9169	-62.717	-111
-10.22	-63.873	-111
-10.473	-65.119	-111
-10.726	-66.097	-111
-10.929	-66.809	-111
-11.283	-67.876	-111
-11.688	-69.389	-111
-11.991	-70.723	-111
-12.244	-71.88	-111
-12.548	-73.036	-111
-12.852	-74.282	-111
-13.105	-75.26	-111
-13.459	-76.328	-111
-13.712	-77.128	-111
-14.066	-78.018	-111
-14.167	-76.684	-111
-14.167	-75.883	-111
-14.167	-74.548	-111
-14.066	-73.392	-111
-14.015	-71.969	-111
-13.864	-70.545	-111
-13.712	-68.677	-111
-13.56	-67.521	-111
-13.459	-66.275	-111
-13.358	-65.03	-111
-13.256	-63.517	-111
-13.206	-62.272	-111
-13.054	-61.293	-111
-12.801	-59.692	-111
-12.649	-59.069	-111
-12.396	-57.468	-111
-12.244	-56.401	-111
-11.991	-54.71	-111
-11.789	-53.465	-111
-11.435	-51.419	-111
-11.131	-49.818	-111
-10.878	-48.127	-111
-10.473	-45.814	-111
-10.018	-43.856	-111
-9.7145	-41.543	-111
-9.2593	-39.408	-111
-8.8544	-37.274	-111
-8.4496	-34.427	-111
-8.0955	-32.114	-111
-7.792	-30.157	-111
-7.3871	-28.2	-111
-7.1341	-26.065	-111
-6.8811	-24.375	-111
-6.0211	-18.503	-111
-5.5656	-15.39	-111
-5.0597	-12.276	-111
-4.6043	-10.141	-111
-4.1488	-7.8285	-111
-3.4912	-4.8038	-111
-2.9347	-2.4908	-111
-2.4792	-0.35584	-111
-1.8215	2.3129	-111
-1.1637	6.4051	-111
-0.70836	9.2518	-111
-0.30358	11.654	-111
0.050597	13.966	-111
0.75895	17.258	-111
1.3661	20.282	-111
1.7709	22.862	-111
2.1251	25.086	-111
2.378	28.2	-111
2.7323	31.136	-111
3.2888	34.872	-111
3.7948	37.807	-111
4.3513	40.921	-111
4.7562	44.034	-111
5.2621	47.683	-111
5.7681	50.618	-111
6.8306	55.155	-111
7.286	57.468	-111
7.6401	59.336	-111
8.1966	61.293	-111
8.7025	62.895	-111
9.1074	64.407	-111
9.6134	66.186	-111
10.271	68.321	-111
11.03	70.634	-111
11.688	72.68	-111
12.346	74.548	-111
12.801	75.705	-111
13.003	76.15	-111
13.307	76.328	-111
13.307	75.794	-111
13.256	74.015	-111
13.105	72.502	-111
12.902	71.079	-111
